sex,year,title,school_id,yearofphd,phd_id,business,basesalary,othersalary,salary,micro,macromoney,metrics,labor,io,public,enviroenergy,develop,intl,finance,health,expbehave,political,urban,econhist,educ,firstname,lastname,i_tenure
Male,2010,Professor,261,1965,140,0,179831,0,179831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755,143,1
Male,2009,Professor,242,1983,41,0,132060,0,132060,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,690,144,1
Male,2018,Associate Professor,209,2008,30,0,180000,0,180000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,145,1
Male,2011,Professor,136,1966,114,0,131044,0,131044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,107,145,1
Male,2004,Professor,135,1975,98,0,203923,0,203923,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,120,145,1
Female,2007,Assistant Professor,261,2001,149,0,78661,0,78661,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,507,145,0
Male,2018,Assistant Professor,135,2017,49,0,155000,0,155000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797,145,0
Male,2009,Professor,209,1971,175,0,108513,0,108513,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,183,146,1
Male,2017,Professor,222,1980,220,0,147217,6666,159644.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,157,147,1
Male,2015,Professor,236,1975,41,0,18425,0,165825,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,538,148,1
Male,2018,Professor,222,1976,197,0,303900,0,308783.5,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,325,149,1
Male,2018,Professor,223,1991,98,0,377975,75821,381721,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,527,150,1
Male,2012,Associate Professor,223,2004,41,0,100000.02,24562.220703125,108333.5078125,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,235,151,1
Male,2017,Professor,108,1982,264,0,146152.8,0,154160.59375,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,184,152,1
Male,2018,Assistant Professor,228,2013,197,0,137342,0,140287.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,252,153,0
Male,2005,Professor,11,1969,48,1,114162,0,114162,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,566,154,1
Female,2018,Assistant Professor,48,2013,10,0,111607,0,111607,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,131,155,0
Male,2018,Professor,223,2002,153,0,343508,142935,358937.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,62,156,1
Male,2019,Professor,248,1969,153,0,56500,0,56500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,157,1
Male,2018,Professor,221,1993,220,0,159090,50456,173409.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,324,158,1
Male,2018,Assistant Professor,136,2013,30,0,130133,130133,130133,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,87,159,0
Male,2009,Assistant Professor,48,2007,134,0,88836,0,88836,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,482,160,0
Female,2018,Assistant Professor,242,2011,197,0,149500,0,149500,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,474,161,0
Male,2018,Associate Professor,48,2008,135,0,154365,0,154365,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,98,162,1
Male,2006,Assistant Professor,248,2000,41,0,79200,0,79200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,163,0
Female,2016,Assistant Professor,135,2012,220,0,135312,0,135312,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,354,164,0
Male,2018,Assistant Professor,185,2017,139,0,147951.26,0,147951.265625,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,801,164,0
Male,2017,Professor,176,2016,26,1,146113.69,0,148879.09375,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,213,165,1
Male,2011,Professor,176,1997,111,1,242458.09,242458.09,223176.1875,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,241,166,1
Male,2018,Professor,221,1988,197,0,230361,0,235825,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,138,167,1
Male,2018,Associate Professor,185,1995,153,0,138975.81,0,138975.8125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,168,1
Female,2009,Assistant Professor,229,2002,240,0,82236.74,0,82443.3671875,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,639,169,0
Male,2005,Assistant Professor,48,1998,248,0,66700,0,66700,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,369,170,0
Female,2018,Assistant Professor,136,2015,175,0,128176,128176,128176,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,586,172,0
Male,2018,Assistant Professor,221,2017,141,0,147717,0,150013,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,544,173,0
Male,2018,Assistant Professor,48,2015,128,0,127163,0,127163,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,341,174,0
Male,2018,Associate Professor,185,2003,149,0,133732.59,0,133732.59375,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,556,175,1
Male,2018,Professor,220,1983,175,0,389567,37468,389850,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,157,176,1
Female,2017,Professor,176,2015,209,1,147791.11,0,154839.984375,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,351,178,1
Male,2008,Assistant Professor,261,2004,264,0,93559,0,93559,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,376,179,0
Male,2018,Professor,221,2003,84,0,216014,83880,219379.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,649,180,1
Male,2018,Professor,226,1985,220,0,316708,0,323258,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,607,181,1
Male,2016,Associate Professor,221,2003,27,0,163475,58323,164812.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,182,1
Male,2018,Associate Professor,222,2009,258,0,148317,0,151450,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,332,183,1
Female,2014,Assistant Professor,223,2010,233,0,130425,0,142620.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,184,0
Male,2017,Professor,176,1991,220,1,329748.42,0,337403.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721,185,1
Male,2015,Assistant Professor,229,2013,153,0,122420.02,0,98076.6796875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,186,0
Male,2018,Associate Professor,185,1981,17,1,141563.43,0,141563.4375,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,478,187,1
Male,2018,Professor,209,2001,261,0,201599.91,0,201599.90625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,188,1
Male,2018,Professor,135,2008,220,0,277830,0,277830,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,490,189,1
Male,2002,Professor,159,1979,220,0,147732,0,147732,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,690,190,1
Male,2007,Assistant Professor,135,2000,153,0,87100,0,87100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,87,191,0
Male,2019,Professor,11,1997,105,1,294747,0,294747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,192,1
